,word1,word2,prediction
0,abandon,frost,-0.9873316188234245
1,abandon,railroad,-0.9146116590131701
2,abortion,religion,-0.7337592189826736
3,abstract,candle,-1.0103809081851627
4,abstract,frog,-0.9924668605640361
5,abstract,moon,-0.9548359056800224
6,abstract,rally,-1.0868091178873522
7,abuse,abuse,-0.0
8,abuse,disorder,-0.6578886839638214
9,accommodate,adjust,-0.6019917874507521
10,accommodation,accommodation,-0.0
11,accompany,walking,-0.8791958171156599
12,account,explanation,-0.6470731952384494
13,account,invoice,-0.917659635146842
14,act,improvement,-0.7670987731498033
15,action,adjustment,-0.8160905284879783
16,action,entrance,-0.9094739469013151
17,activity,solo,-0.9423348643836696
18,activity,variation,-0.7635253741780662
19,actor,amateur,-0.7138307605313672
20,ad,track,-0.8957694183949088
21,add,increased,-0.6946664778918847
22,add,string,-0.8216334664729918
23,addition,segment,-0.7235525491618973
24,admitting,confess,-0.5643861063529718
25,adult,dentist,-0.8680466763474359
26,advance,advance,-0.0
27,advance,string,-0.9265821921876339
28,advice,recommendation,-0.5556694737158143
29,advised,murder,-0.9282610204901068
30,aerial,clown,-1.0089058693551616
31,africa,territory,-0.7822774808002859
32,age,history,-0.6693216348689145
33,agency,police,-0.621686436757409
34,aim,intending,-0.6623640237048412
35,air,cold,-0.6253898597476399
36,air,plasma,-0.8690003684903342
37,air,satellite,-0.6841931261363203
38,aircraft,fleet,-0.45581440675364215
39,aircraft,flight,-0.43228698303567326
40,aircraft,yacht,-0.7207421817890732
41,airplane,plane,-0.22626083567797883
42,ale,bitter,-0.8020825808779234
43,alley,street,-0.6342848096453323
44,aluminum,component,-0.7816962900108864
45,aluminum,imperative,-1.0031369936383028
46,american,lobster,-0.9707429293591388
47,ammunition,intolerable,-1.0071047997296787
48,amount,number,-0.5746860574825844
49,amounted,make,-0.8263408064727599
50,amusement,athletics,-0.93792572688464
51,amusement,procedure,-1.049961994678246
52,anatomy,palm,-1.0355479853748706
53,ancient,city,-0.6964769261563841
54,angel,asphalt,-0.9990120521437139
55,angel,pod,-0.9882718069708151
56,angrier,stormy,-0.9778375430390962
57,animal,asia,-0.8681691903142861
58,animal,flora,-0.7647402388021604
59,animal,giraffe,-0.7955408713719191
60,animal,mural,-0.8832960849584539
61,animal,wild,-0.5255922066671893
62,animal,worm,-0.8014464643691661
63,animal,zoo,-0.5543283509819705
64,anniversary,marriage,-0.8001045588864809
65,answering,counter,-0.8415829105357202
66,anxiety,insecurities,-0.5983240305198607
67,apartment,staircase,-0.7236066992874072
68,appliance,dryer,-0.7669781080271075
69,appreciate,see,-0.5865577310683789
70,approach,avenue,-0.8728255623323059
71,approach,merit,-0.858306349173291
72,approach,trench,-0.9488921704355151
73,approval,encouragement,-0.7559018021997654
74,approving,interaction,-1.0025908497020757
75,aquarium,coin,-0.9901812157879237
76,arch,brick,-0.6653897157173199
77,arch,roof,-0.7467299869802901
78,architecture,urban,-0.6833005975873726
79,area,space,-0.6725818400686109
80,argument,evidence,-0.5480788671362671
81,arm,bicycle,-0.8411942594808421
82,arm,television,-0.801688240179153
83,arrange,discard,-0.7714371996385703
84,arrange,study,-0.9139233973219625
85,arrangement,blizzard,-1.0545733855320418
86,arrangement,room,-0.7802622379485021
87,art,craft,-0.6576637353304404
88,art,gem,-0.7599163702778118
89,art,museum,-0.3158240708104818
90,art,painting,-0.3512190478411703
91,article,cup,-0.9306757389679429
92,article,girl,-0.8417474788032072
93,ash,bone,-0.8771415616045765
94,ash,coil,-0.9295782942491204
95,asphalt,crane,-0.9829102050993003
96,asphalt,water,-0.7783446613458858
97,assets,exclude,-0.7616739858525781
98,association,organization,-0.4755995689978816
99,association,realtor,-0.8728474664275295
100,asylum,dollar,-0.9445500887183291
101,asylum,shelter,-0.682464909499127
102,athletics,racing,-0.696297049119418
103,athletics,swimming,-0.4679417401344643
104,attempt,give,-0.6113747395018376
105,attempt,initiate,-0.7012930401272732
106,attitude,notice,-0.7715913354454177
107,attitude,study,-0.8311541399447839
108,attorney,lawyer,-0.2247378855609844
109,auto,bright,-0.9089194770564767
110,automobile,fabric,-0.8459114090079707
111,automobile,racing,-0.6072276183341999
112,autumn,foliage,-0.5528919748820453
113,autumn,hat,-0.8969589712414398
114,autumn,sunshine,-0.5964810036625084
115,autumn,winter,-0.3378184865239823
116,award,citation,-0.6355183585439932
117,baby,treat,-0.7388476665962787
118,back,lumbar,-0.9099979653054121
119,back,shifting,-0.7565155690786253
120,bacon,bread,-0.5899793216599203
121,bacon,pepper,-0.6401656229608004
122,bacon,salad,-0.6190991148987217
123,bacon,tomato,-0.6150411049092372
124,bacon,wild,-0.8704900012871648
125,bag,cop,-0.9289539114743045
126,bag,flag,-0.835882708490671
127,bakery,cake,-0.6628593490411011
128,bakery,vehicle,-0.9425685775787798
129,balance,gauge,-0.83192538882059
130,banana,salad,-0.7008374075863921
131,band,guitar,-0.434457132937458
132,band,metal,-0.4934199244942443
133,band,play,-0.7087214814888705
134,band,uniform,-0.8565808356610992
135,band,vinyl,-0.6908056400819778
136,bank,smell,-1.0634855437003226
137,bankruptcy,enterprise,-0.8217059893548176
138,bar,diner,-0.6194797453296561
139,bar,ship,-0.833710398897418
140,bar,stair,-0.9399527985620008
141,bar,sushi,-0.6057787441613258
142,barn,food,-0.8759316503389228
143,barrel,gallon,-0.5093271770922627
144,base,club,-0.8113536655482978
145,baseball,born,-0.8338395215009242
146,baseball,cactus,-0.8028381134432867
147,baseball,game,-0.4809091159586031
148,baseball,hockey,-0.3904659403484879
149,baseball,season,-0.5660845736631073
150,basket,dinner,-0.8302455053599704
151,basketball,lesson,-0.8150085125607752
152,basketball,squash,-0.634099422900895
153,bat,bats,-0.3224124872481702
154,bath,bedroom,-0.6032462826732298
155,bath,floor,-0.7670133875713547
156,bath,hot,-0.6654286738604929
157,bath,sleep,-0.8077046371749986
158,bathroom,chamber,-0.8917742925199216
159,bay,curve,-0.9561478067831991
160,bay,harbour,-0.568349503659488
161,beach,cliff,-0.7196010145669893
162,beach,pebble,-0.5858916292705073
163,bead,chess,-0.9509940167319368
164,bead,gold,-0.8626547425431165
165,bead,redhead,-0.8532564089303633
166,beam,column,-0.7987068030243762
167,beard,hair,-0.38345659234401963
168,beat,meter,-0.8529000982584469
169,bed,candy,-0.7971479156919444
170,bed,floor,-0.5748040497223323
171,bed,furniture,-0.6767037638283864
172,bed,layer,-0.7871689165711133
173,bed,pillow,-0.5344084602088743
174,bed,relax,-0.7814467942282767
175,bed,sitting,-0.541593003374118
176,bed,staircase,-0.7709916276248908
177,bedroom,canyon,-0.8391629888383525
178,bedroom,ceiling,-0.6354143106038481
179,bedroom,cell,-0.7732135087941572
180,bedroom,construction,-0.8967290503008578
181,bedroom,door,-0.5128439789387245
182,bedroom,downtown,-0.7101341214970758
